"date","close","volume","open","high","low"

"2016/04/29","20.5900","137904.0000","20.5900","20.6700","19.7300"
"2016/04/28","20.6700","210377.0000","20.5200","21.0300","20.5100"
"2016/04/27","20.4600","88539.0000","20.0700","20.5100","19.9300"
"2016/04/26","20.1800","111728.0000","19.9300","20.3100","19.8900"
"2016/04/25","19.9600","77923.0000","20.9000","20.9000","19.8200"
"2016/04/22","20.6300","121265.0000","20.1900","20.9500","20.1900"
"2016/04/21","20.1100","92220.0000","20.6800","20.9400","20.0700"
"2016/04/20","20.5600","201175.0000","19.5200","20.9000","19.4500"
"2016/04/19","19.5500","101849.0000","19.3500","19.6900","18.9900"
"2016/04/18","19.0200","134194.0000","19.0800","19.3700","18.8300"
"2016/04/15","19.3000","131688.0000","19.8900","19.8900","19.1300"
"2016/04/14","19.8700","220254.0000","19.1500","20.0100","18.8500"
"2016/04/13","19.5300","208167.0000","18.5000","19.7700","18.5000"
"2016/04/12","18.4400","146809.0000","18.2500","18.6420","17.6950"
"2016/04/11","18.2500","135463.0000","18.7200","18.7200","17.8700"
"2016/04/08","18.6900","302626.0000","19.1100","19.3700","18.5000"
"2016/04/07","19.0200","244085.0000","18.4100","19.5200","18.4100"
"2016/04/06","18.5700","293095.0000","18.9500","19.0400","17.8100"
"2016/04/05","18.4700","282488.0000","19.9200","20.2700","18.0100"
"2016/04/04","20.1100","202669.0000","20.9700","20.9700","19.6400"
"2016/04/01","20.3700","348467.0000","19.6600","20.4600","19.2810"
"2016/03/31","19.7900","428204.0000","19.6800","20.4400","19.4807"
"2016/03/30","19.6100","353976.0000","18.6200","19.7200","18.4100"
"2016/03/29","18.3900","193541.0000","18.2900","18.6350","17.9500"
"2016/03/28","18.4300","311638.0000","18.6600","19.0150","18.2200"
"2016/03/24","18.3800","124236.0000","18.1800","18.4800","17.9900"
"2016/03/23","18.2100","231154.0000","19.2000","19.2400","18.0800"
"2016/03/22","19.1700","253739.0000","20.0000","20.1699","19.0300"
"2016/03/21","20.2500","307640.0000","19.9200","20.3200","19.0900"
"2016/03/18","19.8800","2035885.0000","18.0300","21.6900","17.7600"
"2016/03/17","17.9000","225143.0000","17.0400","18.2200","16.7250"
"2016/03/16","16.9900","82331.0000","17.0200","17.5000","16.8200"
"2016/03/15","17.0400","163311.0000","17.8100","17.8201","16.5791"
"2016/03/14","18.0100","140212.0000","18.0000","18.3000","17.6200"
"2016/03/11","18.0700","356804.0000","17.0300","18.6400","16.9500"
"2016/03/10","16.9400","358777.0000","17.1300","18.0000","16.6200"
"2016/03/09","16.9700","379130.0000","16.5900","17.1900","16.2700"
"2016/03/08","16.6300","435088.0000","17.7500","17.7500","16.6000"
"2016/03/07","17.8000","248187.0000","18.9900","19.0290","17.6500"
"2016/03/04","18.8700","232118.0000","20.0200","20.0300","18.6200"
"2016/03/03","19.9100","315240.0000","19.8600","20.5400","19.6600"
"2016/03/02","19.9500","143925.0000","20.1600","20.3200","19.7900"
"2016/03/01","20.3400","111761.0000","20.4000","20.9200","20.2400"
"2016/02/29","20.4000","214048.0000","22.0500","22.0500","20.1200"
"2016/02/26","21.7400","235820.0000","22.7000","22.9250","21.0900"
"2016/02/25","22.7300","548394.0000","22.7500","23.0300","21.3400"
"2016/02/24","23.0600","184904.0000","22.7900","23.8950","22.7900"
"2016/02/23","23.2400","572062.0000","22.1300","24.1100","21.6900"
"2016/02/22","22.6800","378930.0000","21.8600","23.1300","21.4600"
"2016/02/19","21.4500","199652.0000","21.3100","21.5000","20.3100"
"2016/02/18","21.3500","239184.0000","22.5300","22.7269","21.0400"
"2016/02/17","22.2600","320303.0000","21.0000","22.6100","20.9100"
"2016/02/16","21.0000","211663.0000","20.2500","22.1850","20.0350"
"2016/02/12","20.1300","271571.0000","19.9800","20.9200","19.8680"
"2016/02/11","19.8300","124878.0000","19.5100","19.9500","19.3850"
"2016/02/10","19.5900","84441.0000","19.5500","20.0800","19.1800"
"2016/02/09","19.4700","238206.0000","19.1500","19.8500","18.3700"
"2016/02/08","19.3100","459991.0000","19.1900","19.8600","18.2600"
"2016/02/05","19.3700","145625.0000","19.4700","19.9700","19.0456"
"2016/02/04","19.5800","254267.0000","18.2300","19.9000","17.8900"
"2016/02/03","18.2700","88722.0000","18.1000","18.4000","17.5400"
"2016/02/02","18.0200","147476.0000","18.5400","18.8500","17.9800"
"2016/02/01","18.6500","395583.0000","17.7500","19.2000","17.6900"
"2016/01/29","17.8600","283578.0000","17.1700","18.1300","17.1700"
"2016/01/28","17.1500","295287.0000","19.6800","19.9400","16.4400"
"2016/01/27","19.4800","342479.0000","19.1800","19.5300","17.8200"
"2016/01/26","19.4600","153214.0000","18.4400","19.5000","18.0100"
"2016/01/25","18.3500","337681.0000","16.6900","18.9000","16.6900"
"2016/01/22","16.6900","116747.0000","16.9400","17.1550","16.5100"
"2016/01/21","16.5400","134088.0000","16.3800","17.3700","16.2800"
"2016/01/20","16.3600","351533.0000","15.4700","16.4500","14.3600"
"2016/01/19","15.5400","163180.0000","16.7100","16.9600","15.3900"
"2016/01/15","16.7700","175397.0000","16.9100","16.9600","16.1850"
"2016/01/14","17.2700","210645.0000","16.2700","17.7000","16.1700"
"2016/01/13","16.2400","238805.0000","16.9000","16.9100","15.9100"
"2016/01/12","16.9000","201888.0000","17.5800","18.1789","16.4600"
"2016/01/11","17.4600","98576.0000","18.2500","18.3600","17.2100"
"2016/01/08","18.1100","227058.0000","18.2000","18.7200","17.6600"
"2016/01/07","18.2000","98535.0000","18.7500","18.9300","18.0100"
"2016/01/06","19.0100","126818.0000","19.5000","19.5350","18.7600"
"2016/01/05","19.4600","104795.0000","18.5800","19.5000","18.5500"
"2016/01/04","18.5200","119601.0000","18.8800","18.9500","18.0700"
"2015/12/31","19.0600","153629.0000","18.5500","19.2500","18.4770"
"2015/12/30","18.5500","92730.0000","18.5100","19.0600","18.3400"
"2015/12/29","18.6000","84701.0000","18.8200","19.2500","18.5000"
"2015/12/28","18.7400","227137.0000","19.0400","19.3599","18.3300"
"2015/12/24","19.2300","99768.0000","18.6300","19.6400","18.6300"
"2015/12/23","18.8200","332958.0000","20.1500","20.4100","18.6700"
"2015/12/22","20.2200","234302.0000","21.1800","21.3799","20.1900"
"2015/12/21","21.3200","1249233.0000","22.0900","22.0900","18.2500"
"2015/12/18","22.0600","208564.0000","22.8000","23.5300","21.9500"
"2015/12/17","22.7200","336609.0000","22.2300","23.6900","22.2300"
"2015/12/16","22.5500","354528.0000","22.5800","22.9000","21.7200"
"2015/12/15","22.3700","311320.0000","22.6400","23.9100","22.2400"
"2015/12/14","22.5100","156764.0000","23.1700","24.0000","21.8000"
"2015/12/11","23.3800","447115.0000","22.6000","23.9100","22.3700"
"2015/12/10","22.9600","233547.0000","23.1100","24.5000","22.8600"
"2015/12/09","22.8700","291520.0000","23.0000","24.5900","21.9100"
"2015/12/08","22.8400","469448.0000","21.5600","23.4900","21.3500"
"2015/12/07","21.6300","178849.0000","22.3700","22.8950","21.0200"
"2015/12/04","22.4600","284618.0000","22.8400","23.6700","21.5901"
"2015/12/03","22.6800","119103.0000","23.8800","24.2375","22.3700"
"2015/12/02","23.8800","71755.0000","24.6500","24.6800","23.7200"
"2015/12/01","24.7200","149113.0000","24.6200","24.8200","21.1400"
"2015/11/30","24.5400","130473.0000","24.2600","24.7900","24.2600"
"2015/11/27","24.2400","62099.0000","24.6500","25.0025","24.2000"
"2015/11/25","24.6300","216233.0000","23.9200","25.0500","23.9200"
"2015/11/24","23.9600","128132.0000","23.6600","24.8900","23.6600"
"2015/11/23","23.7000","158024.0000","23.1300","24.5000","23.1300"
"2015/11/20","23.2600","99621.0000","22.6200","23.4700","22.5300"
"2015/11/19","22.4000","185685.0000","22.5300","22.7850","22.0500"
"2015/11/18","22.5200","257739.0000","22.5000","23.7500","22.4300"
"2015/11/17","22.5200","97253.0000","22.6000","23.9000","22.4200"
"2015/11/16","22.5800","172951.0000","22.6500","23.1900","22.1500"
"2015/11/13","22.6800","74982.0000","22.1600","23.1200","22.0400"
"2015/11/12","22.5000","173987.0000","22.2900","22.6500","22.1500"
"2015/11/11","22.5600","252081.0000","23.6800","23.9238","22.0000"
"2015/11/10","23.5700","109683.0000","23.3900","23.8600","23.3200"
"2015/11/09","23.5100","157552.0000","24.5000","24.8400","23.4400"
"2015/11/06","24.5000","102850.0000","24.1400","24.6600","23.9100"
"2015/11/05","24.2500","93748.0000","24.1000","24.4100","23.4601"
"2015/11/04","24.0600","272446.0000","21.7700","24.6400","21.7700"
"2015/11/03","21.7900","392619.0000","22.2100","22.5400","21.4800"
"2015/11/02","22.3300","303179.0000","23.1800","23.2000","22.1023"
"2015/10/30","23.2000","257927.0000","23.4700","23.6283","22.6800"
"2015/10/29","23.5100","269322.0000","23.5300","25.0000","23.5000"
"2015/10/28","23.7600","659659.0000","28.4000","28.4000","22.6600"
"2015/10/27","25.7200","264274.0000","26.0200","27.2400","25.5200"
"2015/10/26","26.1600","176074.0000","26.0100","26.6100","25.0500"
"2015/10/23","26.0100","122660.0000","26.0800","27.0991","25.7600"
"2015/10/22","25.6600","410267.0000","26.7100","26.7100","24.8300"
"2015/10/21","26.4900","204418.0000","27.9900","28.0400","25.6800"
"2015/10/20","28.0300","193906.0000","28.4200","28.5900","27.3100"
"2015/10/19","28.4700","387390.0000","27.0200","28.7200","26.8400"
"2015/10/16","27.1800","762118.0000","26.8200","28.3500","25.2103"
"2015/10/15","26.7700","187504.0000","26.6300","27.0800","25.9900"
"2015/10/14","26.6600","164311.0000","27.4000","27.4000","25.8100"
"2015/10/13","26.9000","286978.0000","26.5800","27.1600","25.3900"
"2015/10/12","26.7600","253132.0000","26.2900","27.0000","26.1400"
"2015/10/09","26.2200","193129.0000","26.7400","27.1100","25.7200"
"2015/10/08","26.7600","108769.0000","26.5600","26.9300","26.2900"
"2015/10/07","26.8600","299485.0000","27.3400","27.3400","26.5200"
"2015/10/06","27.0000","373021.0000","27.8600","28.4600","26.4000"
"2015/10/05","27.7300","578755.0000","24.7100","28.7200","24.7100"
"2015/10/02","24.4300","295123.0000","22.4200","24.4800","22.4200"
"2015/10/01","22.5900","197468.0000","22.2700","22.6900","22.1100"
"2015/09/30","22.2500","419099.0000","23.5200","24.1400","22.1000"
"2015/09/29","23.4700","333113.0000","23.4000","23.7900","22.6000"
"2015/09/28","23.4000","988633.0000","25.2100","25.5000","22.1300"
"2015/09/25","25.4400","628594.0000","24.8500","25.6100","24.5200"
"2015/09/24","24.6800","383250.0000","24.1500","24.8100","23.7800"
"2015/09/23","24.1900","401503.0000","23.3700","24.9350","23.1400"
"2015/09/22","23.1500","229546.0000","23.1800","23.4499","22.2400"
"2015/09/21","23.5500","180637.0000","23.8700","23.8700","22.9400"
"2015/09/18","23.7800","267719.0000","23.3300","24.2200","23.0100"
"2015/09/17","23.6500","248185.0000","23.8000","24.1899","23.0400"
"2015/09/16","23.9300","171307.0000","22.6600","24.1400","22.3800"
"2015/09/15","22.5600","153667.0000","23.4700","23.4900","22.5300"
"2015/09/14","23.1900","438271.0000","22.4600","24.6200","22.2140"
"2015/09/11","22.5000","399460.0000","22.9400","22.9700","22.2000"
"2015/09/10","23.0300","336180.0000","22.2500","23.8576","22.1100"
"2015/09/09","22.3400","312123.0000","23.8800","23.9295","22.2200"
"2015/09/08","23.8000","193340.0000","24.6700","24.6700","23.6300"
"2015/09/04","23.9500","453862.0000","24.8300","25.2000","23.5800"
"2015/09/03","25.3000","666274.0000","25.0000","27.6100","23.9100"
"2015/09/02","25.0300","1028943.0000","22.3400","25.5700","22.0700"
"2015/09/01","22.1200","615365.0000","23.1400","23.2550","21.7200"
"2015/08/31","23.6100","446429.0000","22.2900","24.7500","22.0244"
"2015/08/28","22.4900","324723.0000","21.4700","22.5200","20.3100"
"2015/08/27","21.7600","262329.0000","21.9500","22.3450","20.5000"
"2015/08/26","21.6000","735805.0000","21.6100","22.5000","19.9400"
"2015/08/25","21.3400","366966.0000","23.3300","25.4900","21.0650"
"2015/08/24","22.3000","508189.0000","22.4600","23.8900","21.8800"
"2015/08/21","24.3000","1126344.0000","22.0500","25.6900","22.0500"
"2015/08/20","21.7900","445842.0000","22.5900","22.8092","21.1600"
"2015/08/19","22.8000","499775.0000","23.8200","24.1214","21.8600"
"2015/08/18","24.1200","832436.0000","23.1500","25.7400","23.0500"
"2015/08/17","23.0600","599361.0000","22.4000","23.6400","22.0386"
"2015/08/14","22.6200","695946.0000","22.4500","22.6700","21.1300"
"2015/08/13","22.3800","1228902.0000","19.3000","22.9700","19.3000"
"2015/08/12","19.5000","631110.0000","17.8200","20.2900","17.7000"
"2015/08/11","18.3600","719824.0000","18.8000","19.0800","18.0000"
"2015/08/10","18.8200","900096.0000","18.0000","19.5100","18.0000"
"2015/08/07","17.7700","896789.0000","20.0400","20.1700","16.5900"
"2015/08/06","20.0400","786050.0000","20.7300","21.2800","19.4700"
"2015/08/05","20.7500","2802645.0000","21.0000","25.2700","20.3100"
"2015/08/04","19.8900","8168756.0000","32.7900","32.8600","15.0900"
"2015/08/03","32.7900","1391373.0000","37.8000","37.8000","32.0432"
"2015/07/31","38.0100","525575.0000","37.4300","38.2300","37.4300"
"2015/07/30","37.4900","1065299.0000","39.0700","40.2800","37.0000"
"2015/07/29","39.0700","198341.0000","39.5500","40.2700","38.4100"
"2015/07/28","39.6000","148600.0000","38.9700","39.8200","37.8000"
"2015/07/27","39.0900","372503.0000","38.2700","39.2200","37.9100"
"2015/07/24","38.8600","256674.0000","38.5300","39.1000","37.6000"
"2015/07/23","38.8100","253017.0000","38.7400","39.2700","38.2201"
"2015/07/22","38.6400","330927.0000","38.9900","39.4899","38.2000"
"2015/07/21","38.9800","721961.0000","41.3000","41.3000","37.6900"
"2015/07/20","40.9800","160213.0000","42.0500","42.5700","40.6700"
"2015/07/17","41.8400","282904.0000","43.4900","43.8255","40.6000"
"2015/07/16","43.3200","226756.0000","42.8300","43.8200","42.1101"
"2015/07/15","42.8300","186544.0000","43.3700","43.9500","42.7200"
"2015/07/14","43.4600","145020.0000","43.4700","43.8450","42.7500"
"2015/07/13","43.7000","219288.0000","42.6100","44.1700","42.3700"
"2015/07/10","42.4100","165524.0000","44.0900","44.2000","41.7000"
"2015/07/09","43.6100","183394.0000","42.1500","44.2300","41.5700"
"2015/07/08","40.8800","293934.0000","42.6100","43.1100","39.5864"
"2015/07/07","43.1900","293357.0000","45.3500","45.3500","42.7000"
"2015/07/06","44.7000","353764.0000","44.2200","46.6000","44.0300"
"2015/07/02","44.7500","157803.0000","43.1700","45.0000","43.0000"
"2015/07/01","42.9400","131669.0000","43.8600","44.5000","41.7700"
"2015/06/30","43.5600","115658.0000","43.3500","43.8650","42.6800"
"2015/06/29","43.0700","102877.0000","42.1700","43.9000","41.8000"
"2015/06/26","43.1700","304473.0000","43.4300","43.4820","42.3328"
"2015/06/25","43.4300","159551.0000","43.1400","43.7599","42.7100"
"2015/06/24","43.0000","257737.0000","44.5000","44.6387","42.9400"
"2015/06/23","44.1600","235213.0000","44.1700","45.2400","43.8800"
"2015/06/22","44.2200","134174.0000","44.3900","44.8900","43.8700"
"2015/06/19","44.2800","165377.0000","43.5800","44.4000","43.2717"
"2015/06/18","43.6100","155679.0000","43.4200","43.8500","43.2500"
"2015/06/17","43.3200","209708.0000","43.6500","43.9999","42.4600"
"2015/06/16","43.4300","139486.0000","42.5300","43.5000","41.9800"
"2015/06/15","42.6100","319096.0000","42.8800","43.0000","41.7740"
"2015/06/12","43.1700","82673.0000","43.3200","43.6200","41.8800"
"2015/06/11","43.5200","269383.0000","43.5800","45.4799","42.8800"
"2015/06/10","43.3900","343394.0000","39.4500","43.7450","39.3300"
"2015/06/09","39.1600","258125.0000","42.2400","42.2400","37.5400"
"2015/06/08","41.7500","224724.0000","41.9000","43.2499","41.3500"
"2015/06/05","41.8700","189530.0000","41.3500","42.2104","41.2600"
"2015/06/04","41.6700","256370.0000","41.3400","42.0800","40.9800"
"2015/06/03","41.4800","543989.0000","39.1700","42.1200","39.1700"
"2015/06/02","38.9100","82981.0000","38.9000","39.6200","38.4300"
"2015/06/01","39.0400","128711.0000","38.8600","39.5900","38.7300"
"2015/05/29","38.8600","185046.0000","38.5300","38.8800","37.8200"
"2015/05/28","38.5500","70207.0000","38.5600","39.0000","38.3100"
"2015/05/27","38.7300","110503.0000","38.6000","39.1776","38.3260"
"2015/05/26","38.3100","102443.0000","39.4000","39.7500","37.7400"
"2015/05/22","39.3500","275160.0000","38.1800","39.9750","37.5200"
"2015/05/21","37.9500","559037.0000","35.8500","38.1500","35.6000"
"2015/05/20","35.6900","233457.0000","36.0000","36.4300","35.6200"
"2015/05/19","35.9800","213771.0000","37.7900","37.8600","35.8500"
"2015/05/18","37.6500","783775.0000","37.1200","39.0499","36.7122"
"2015/05/15","37.0100","250912.0000","36.4600","37.4648","36.1200"
"2015/05/14","36.3800","291750.0000","34.6100","36.8300","34.2500"
"2015/05/13","34.1900","210198.0000","34.0900","35.0000","33.8000"
"2015/05/12","33.6000","190637.0000","32.5600","33.8885","32.4016"
"2015/05/11","32.7900","128841.0000","31.8100","33.4600","31.7300"
"2015/05/08","31.6800","86159.0000","31.3900","31.7200","30.8800"
"2015/05/07","30.9800","115302.0000","30.6900","31.5600","30.0000"
"2015/05/06","31.0200","159523.0000","32.1500","32.1500","30.6100"
"2015/05/05","32.0000","130787.0000","34.1000","34.2000","31.9100"
"2015/05/04","34.2100","161861.0000","34.7300","34.8400","32.9800"
"2015/05/01","34.4300","182544.0000","34.8100","34.8100","32.5000"
"2015/04/30","34.6600","721994.0000","34.7500","35.4000","33.1900"
"2015/04/29","31.3100","205740.0000","31.6600","32.0100","30.4000"
